Dataset,Proyek,AE GA,AE GACO,Selisih AE (GA - GACO),Metode Lebih Baik
Maxwell,1,4922.80909,647.072031,4275.737059,GACO
Maxwell,2,635.056357,129.9276801,505.1286769000001,GACO
Maxwell,3,1595.122799,253.9839432,1341.1388557999999,GACO
Maxwell,4,12730.48117,1055.882666,11674.598504,GACO
Maxwell,5,2332.396446,382.9680742,1949.4283718000001,GACO
Maxwell,6,1902.899019,345.0114111,1557.8876079,GACO
Maxwell,7,5467.739143,822.4441316,4645.2950114,GACO
Maxwell,8,6120.645915,1240.844265,4879.80165,GACO
Maxwell,9,9515.857127,1657.74296,7858.114167,GACO
Maxwell,10,3031.758876,484.3363303,2547.4225457,GACO
Maxwell,11,2925.696729,739.0635308,2186.6331981999997,GACO
Maxwell,12,715.39284,107.9687193,607.4241207,GACO
Maxwell,13,484.6342048,128.7990153,355.8351895,GACO
Maxwell,14,1965.276065,358.8136597,1606.4624053,GACO
Maxwell,15,2944.782741,370.9928591,2573.7898819,GACO
Maxwell,16,1217.056816,210.9808581,1006.0759579,GACO
Maxwell,17,13978.09507,1849.440761,12128.654309,GACO
Maxwell,18,26695.70585,2474.82118,24220.88467,GACO
Maxwell,19,10648.69769,961.8781399,9686.819550100001,GACO
Maxwell,20,7407.579548,671.1280756,6736.4514724,GACO
Maxwell,21,10324.13994,2953.282589,7370.857350999999,GACO
Maxwell,22,6682.466398,501.382805,6181.083592999999,GACO
Maxwell,23,4894.217458,915.5972138,3978.6202442000003,GACO
Maxwell,24,5344.03798,873.7065361,4470.3314439000005,GACO
Maxwell,25,3605.692305,463.3890854,3142.3032196,GACO
Maxwell,26,28805.09419,3920.446804,24884.647386,GACO
Maxwell,27,1147.357289,253.0138188,894.3434702000001,GACO
Maxwell,28,1096.931173,195.5937809,901.3373921,GACO
Maxwell,29,1293.340491,248.2413269,1045.0991641,GACO
Maxwell,30,1192.154262,386.9880913,805.1661707000001,GACO
Maxwell,31,2221.850411,424.826989,1797.0234219999998,GACO
Maxwell,32,768.9755224,204.0222912,564.9532312,GACO
Maxwell,33,892.2902272,177.2536168,715.0366104,GACO
Maxwell,34,2365.056975,839.9512285,1525.1057465,GACO
Maxwell,35,6083.031,1647.837104,4435.193896,GACO
Maxwell,36,4993.476326,1035.147986,3958.32834,GACO
Maxwell,37,3036.064659,547.8520413,2488.2126177,GACO
Maxwell,38,11421.75561,2734.364649,8687.390961000001,GACO
Maxwell,39,4993.620687,1459.571296,3534.0493909999996,GACO
Maxwell,40,7977.105098,2546.128826,5430.976272,GACO
Maxwell,41,992.5988843,434.2032316,558.3956527,GACO
Maxwell,42,4870.980658,2084.939997,2786.0406610000005,GACO
Maxwell,43,951.3883239,529.5821319,421.806192,GACO
Maxwell,44,4769.551748,2315.69983,2453.851918,GACO
Maxwell,45,6682.200693,2848.310336,3833.8903569999998,GACO
Maxwell,46,8028.718375,3214.166675,4814.5517,GACO
Maxwell,47,707.9818663,318.1100312,389.8718351,GACO
Maxwell,48,9121.34065,2963.140759,6158.199891,GACO
Maxwell,49,1552.765328,504.6854668,1048.0798611999999,GACO
Maxwell,50,4851.029963,1570.495442,3280.534521,GACO
Maxwell,51,3953.739372,1645.947751,2307.7916210000003,GACO
Maxwell,52,3162.338502,1046.465096,2115.873406,GACO
Maxwell,53,3935.016426,2228.492384,1706.524042,GACO
Maxwell,54,7698.497188,2598.512082,5099.985106,GACO
Maxwell,55,3070.597794,1038.510068,2032.0877259999997,GACO
Maxwell,56,1701.957774,1003.335943,698.6218309999999,GACO
Maxwell,57,10806.23678,2699.877999,8106.358780999999,GACO
Maxwell,58,6261.490982,2255.310045,4006.180937,GACO
Maxwell,59,5859.163415,1946.446009,3912.7174059999998,GACO
Maxwell,60,4059.836332,1881.109259,2178.727073,GACO
Maxwell,61,6501.923677,2210.261651,4291.662026,GACO
Maxwell,62,29602.09309,9409.074245,20193.018845,GACO
Ziauddin,1,58.00350052,62.99117734,-4.987676819999997,GA
Ziauddin,2,80.97989152,92.01368609,-11.033794569999998,GA
Ziauddin,3,51.94129062,55.99461247,-4.053321850000003,GA
Ziauddin,4,45.84534862,63.76621792,-17.9208693,GA
Ziauddin,5,34.60792893,31.99396456,2.6139643700000015,GACO
Ziauddin,6,106.5267196,83.0151176,23.51160200000001,GACO
Ziauddin,7,28.88216303,35.00755978,-6.12539675,GA
Ziauddin,8,84.70855991,92.99996588,-8.29140597,GA
Ziauddin,9,35.00129577,35.99916051,-0.9978647400000042,GA
Ziauddin,10,66.02780003,62.01644315,4.011356879999994,GACO
Ziauddin,11,40.99201217,45.00041312,-4.008400949999995,GA
Ziauddin,12,38.96668158,37.01291564,1.9537659399999967,GACO
Ziauddin,13,35.00644373,31.9964652,3.0099785300000015,GACO
Ziauddin,14,25.98593576,30.00113685,-4.0152010900000015,GA
Ziauddin,15,21.99470607,20.99666635,0.9980397199999977,GACO
Ziauddin,16,102.9807793,111.9804098,-8.99963050000001,GA
Ziauddin,17,40.01291212,38.99929481,1.0136173100000008,GACO
Ziauddin,18,49.98487598,51.9868647,-2.00198872,GA
Ziauddin,19,76.02435325,79.99974037,-3.9753871199999935,GA
Ziauddin,20,50.99512232,56.01685318,-5.021730859999998,GA
Ziauddin,21,33.97562046,34.99340775,-1.0177872900000011,GA
